App_id,Name,Monthly_Flat_price,Monthly_per_user_price,Installs,Reviews,Avg Rating,Service Type,Security,Own By,Description,Product_urls
6572,Tempo Timesheets - Time Tracking & Reports, 10.00,USD 3.25 per user (average),27936,433,3.0,"Jira Cloud,Jira Server,Jira Data Center",CLOUD FORTIFIED,Tempo for JIRA,The #1 time management product in the Atlassian ecosystem since 2010,https://marketplace.atlassian.com/apps/6572/tempo-timesheets-time-tracking-reports?hosting=cloud&tab=overview
5167,Better PDF Exporter for Jira, 0.99,USD 2.40 per user (average),3787,290,4.0,"Jira Cloud,Jira Server,Jira Data Center",None,Midori Global Consulting Kft.,"Customizable PDF export for Jira: issue lists, dashboards, timesheets, invoices, Release Notes, story cards & custom documents",https://marketplace.atlassian.com/apps/5167/better-pdf-exporter-for-jira?hosting=cloud&tab=overview
1216988,Timesheet tracking for Jira,0,0,14263,97,3.5,"Jira Cloud,Jira Server,Jira Data Center",None,TouchDown,Top 3 Trending time tracking app ! Powerful and easy to use timesheet reports based on users worklogs,https://marketplace.atlassian.com/apps/1216988/timesheet-tracking-for-jira?hosting=cloud&tab=overview
294,Timesheet Reports & Gadgets, 5.00,USD 0.60 per user (average),11586,229,3.5,"Jira Cloud,Jira Server,Jira Data Center",None,"Prime Timesheet, s.r.o","Tempo’s entry-level time reporting app that extends Jira, capturing time spent on every project flow",https://marketplace.atlassian.com/apps/294/timesheet-reports-gadgets?hosting=cloud&tab=overview
1212495,Planning Poker ®, 10.00,USD 1.75 per user (average),2080,108,4.0,"Jira Cloud,Jira Server,Jira Data Center",None,Lizard Brain Atlassian Apps (an Appfire company),Top Rated. Cloud Security Compliant. Planning Poker,https://marketplace.atlassian.com/apps/1212495/planning-poker?hosting=cloud&tab=overview
1211756,Time in Status, 5.00,USD 0.85 per user (average),2902,59,3.5,"Jira Cloud,Jira Server,Jira Data Center",None,OBSS,"Identify bottlenecks in your process by reporting on how much time each issue spent on each status, each assignee or each group",https://marketplace.atlassian.com/apps/1211756/time-in-status?hosting=cloud&tab=overview
1211843,Time to SLA, 5.00,USD 1.00 per user (average),1838,99,4.0,"Jira Cloud,Jira Server,Jira Data Center",None,Snapbytes Limited (an Appfire company),"Best-selling SLA tracking app with solid configuration, reporting and searching features. Available on all Jira applications",https://marketplace.atlassian.com/apps/1211843/time-to-sla?hosting=cloud&tab=overview
1219004,Worklogs - Time Tracking and Reports, 2.50,USD 0.40 per user (average),1976,50,3.5,"Jira Cloud,Jira Server,Jira Data Center",CLOUD FORTIFIED,SolDevelo,Time reports and time tracking for members of your team done in an easy and flexible way,https://marketplace.atlassian.com/apps/1219004/worklogs-time-tracking-and-reports?hosting=cloud&tab=overview
1212942,Reports and Timesheets for Jira, 10.00,USD 2.25 per user (average),1960,83,3.5,"Jira Cloud,Jira Server,Jira Data Center",None,Bob Swift Atlassian Apps (an Appfire company),"Easily build meaningful reports in Jira to support daily operations, executive reporting, and more",https://marketplace.atlassian.com/apps/1212942/reports-and-timesheets-for-jira?hosting=cloud&tab=overview
1211881,Tempo Planner - Resource Planning,0,USD 1.75 per user (average),9200,118,2.5,"Jira Cloud,Jira Server,Jira Data Center",CLOUD FORTIFIED,Tempo for JIRA,"Compact, visual resource planning solution empowering businesses to optimize workforce capacities and achieve sustainable growth",https://marketplace.atlassian.com/apps/1211881/tempo-planner-resource-planning?hosting=cloud&tab=overview
1213545,Work Time Tracking Calendar for Jira, 5.00,USD 0.60 per user (average),1565,64,3.5,"Jira Cloud,Jira Server,Jira Data Center",None,BrizoIT,"Planning and time tracking, report generation, calendar export, timers, conditional colors, and much more",https://marketplace.atlassian.com/apps/1213545/work-time-tracking-calendar-for-jira?hosting=cloud&tab=overview
1220860,ActivityTimeline: Resource Planning & Time Tracking,0,USD 2.50 per user (average),1157,53,4.0,"Jira Cloud,Jira Server,Jira Data Center",CLOUD FORTIFIED,Reliex,"Team management & capacity Planner with Time tracking and Timeline per each team/resource, easy-to-use yet powerful Reports",https://marketplace.atlassian.com/apps/1220860/activitytimeline-resource-planning-time-tracking?hosting=cloud&tab=overview
